Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Protocol,Experimental Condition [Imaging Type],Comment [Gene Identifier] 1,Comment [Gene Symbol] 1,Comment [Gene Identifier] 2,Comment [Gene Symbol] 2,Comment [Genetic Background],Comment [Genetic Background Identifier],Comment [Gene Annotation Comments],Comment [Image File Path],Comment [Image File Type],Channels,Comment [Experimental Conclusion]
Figure 1C,1C_18072018_Hta1_rDNAteto_TetR_Meiosis_01_08_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1C,Deconvolved,"FITC = TetR-GFP, mCherry = Hta1-mApple",rDNA circles in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1C,1C_18072018_Hta1_rDNAteto_TetR_Meiosis_01_08_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1C,Raw,"FITC = TetR-GFP, mCherry = Hta1-mApple",rDNA circles in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1C,1C_18072018_Hta1_rDNAteto_TetR_Meiosis_01_08_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1C,Deconvolved z-projected,"FITC = TetR-GFP, mCherry = Hta1-mApple",rDNA circles in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1C,1C_18072018_Hta1_rDNAteto_TetR_Meiosis_01_08_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1/Figure 1C,Reference,Bright-field,rDNA circles in aged cells are sequestered away from chromosomes during anaphase II and are subsequently eliminated.
Figure 1 - Supplement 1,1S1_08202017_Nup170Hsp104Meiosis_05_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 1 - Supplement 1,Deconvolved,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry",Protein aggregates in aged cells are largely inside the nucleus prior to the meiotic divisions.
Figure 1 - Supplement 1,1S1_08202017_Nup170Hsp104Meiosis_05_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 1 - Supplement 1,Raw,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry",Protein aggregates in aged cells are largely inside the nucleus prior to the meiotic divisions.
Figure 1 - Supplement 1,1S1_MAX_08202017_Nup170Hsp104Meiosis_05_R3D_D3Dzproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 1 - Supplement 1,Deconvolved z-projected,"FITC = Nup170-GFP, mCherry = Hsp104-mCherry",Protein aggregates in aged cells are largely inside the nucleus prior to the meiotic divisions.
Figure 1 - Supplement 1,1S1_08202017_Nup170Hsp104Meiosis_05_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 1 - Supplement 1,Reference,Bright-field,Protein aggregates in aged cells are largely inside the nucleus prior to the meiotic divisions.
Figure 1 - Supplement 2,1S2_08192018_TetRGFP_Hta1_Meiosis_01_26_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1 - Supplement 2,Deconvolved,"FITC = TetR-GFP, mCherry = Hta1-mApple",TetR-GFP is not sequestered in aged cells lacking the rDNA-tetO array.
Figure 1 - Supplement 2,1S2_08192018_TetRGFP_Hta1_Meiosis_01_26_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1 - Supplement 2,Raw,"FITC = TetR-GFP, mCherry = Hta1-mApple",TetR-GFP is not sequestered in aged cells lacking the rDNA-tetO array.
Figure 1 - Supplement 2,1S2_MAX_08192018_TetRGFP_Hta1_Meiosis_01_26_zproj_R3D_D3D.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1 - Supplement 2,Deconvolved z-projected,"FITC = TetR-GFP, mCherry = Hta1-mApple",TetR-GFP is not sequestered in aged cells lacking the rDNA-tetO array.
Figure 1 - Supplement 2,1S2_08192018_TetRGFP_Hta1_Meiosis_01_26_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,,TetR,YDR225W,Hta1,flo8Δ,YER109C,SGD,/Figure 1 - Supplement 2,Reference,Bright-field,TetR-GFP is not sequestered in aged cells lacking the rDNA-tetO array.
Figure 2A,2A_051321018_Nsr1_H2BMeiosis_01_42_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 2/Figure 2A,Deconvolved,"FITC = Nsr1-GFP, mCherry = Htb1-mCherry",Nucleolar material in young cells is sequestered away from chromosomes during anaphase II and is subsequently eliminated.
Figure 2A,2A_051321018_Nsr1_H2BMeiosis_01_42_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 2/Figure 2A,Raw,"FITC = Nsr1-GFP, mCherry = Htb1-mCherry",Nucleolar material in young cells is sequestered away from chromosomes during anaphase II and is subsequently eliminated.
Figure 2A,2A_MAX_051321018_Nsr1_H2BMeiosis_01_42_zproj_R3D_D3D.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 2/Figure 2A,Deconvolved z-projected,"FITC = Nsr1-GFP, mCherry = Htb1-mCherry",Nucleolar material in young cells is sequestered away from chromosomes during anaphase II and is subsequently eliminated.
Figure 2A,2A_051321018_Nsr1_H2BMeiosis_01_42_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 2/Figure 2A,Reference,Bright-field,Nucleolar material in young cells is sequestered away from chromosomes during anaphase II and is subsequently eliminated.
Figure 2B,2B_051321018_Nsr1H2BMeiosis_01_46_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 2/Figure 2B,Deconvolved,"FITC = Nsr1-GFP, mCherry = Htb1-mCherry",Nucleolar material in aged cells is sequestered away from chromosomes during anaphase II and is subsequently eliminated.
Figure 2B,2B_051321018_Nsr1H2BMeiosis_01_46_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 2/Figure 2B,Raw,"FITC = Nsr1-GFP, mCherry = Htb1-mCherry",Nucleolar material in aged cells is sequestered away from chromosomes during anaphase II and is subsequently eliminated.
Figure 2B,2B_MAX_051321018_Nsr1H2BMeiosis_01_46_zproj_R3D_D3D.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 2/Figure 2B,Deconvolved z-projected,"FITC = Nsr1-GFP, mCherry = Htb1-mCherry",Nucleolar material in aged cells is sequestered away from chromosomes during anaphase II and is subsequently eliminated.
Figure 2B,2B_051321018_Nsr1H2BMeiosis_01_46_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YDR224C,Htb1,flo8Δ,YER109C,SGD,/Figure 2/Figure 2B,Reference,Bright-field,Nucleolar material in aged cells is sequestered away from chromosomes during anaphase II and is subsequently eliminated.
Figure 2E,2E_09122017_Nsr1Hsp104Meiosis_04_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 2/Figure 2E,Deconvolved,"FITC = Nsr1-GFP, mCherry = Hsp104-mCherry",Protein aggregates and nucleolar material are sequestered with similar timing and localization during anaphase II.
Figure 2E,2E_09122017_Nsr1Hsp104Meiosis_04_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 2/Figure 2E,Raw,"FITC = Nsr1-GFP, mCherry = Hsp104-mCherry",Protein aggregates and nucleolar material are sequestered with similar timing and localization during anaphase II.
Figure 2E,2E_MAX_09122017_Nsr1Hsp104Meiosis_04_R3D_D3Dzproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 2/Figure 2E,Deconvolved z-projected,"FITC = Nsr1-GFP, mCherry = Hsp104-mCherry",Protein aggregates and nucleolar material are sequestered with similar timing and localization during anaphase II.
Figure 2E,2E_09122017_Nsr1Hsp104Meiosis_04_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGR159C,Nsr1,YLL026W,Hsp104,flo8Δ,YER109C,SGD,/Figure 2/Figure 2E,Reference,Bright-field,Protein aggregates and nucleolar material are sequestered with similar timing and localization during anaphase II.
Figure 3B,180525_Spo21Repeat01_24_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YDR224C,Htb1,WT,,SGD,/Figure 3/3B - Nup170-GFP Htb1-mCherry,Deconvolved,"FITC = Nup170-GFP, mCherry = Htb1-mCherry",The inner ring complex nucleoporin Nup170 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3B,180525_Spo21Repeat01_24_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YDR224C,Htb1,WT,,SGD,/Figure 3/3B - Nup170-GFP Htb1-mCherry,Raw,"FITC = Nup170-GFP, mCherry = Htb1-mCherry",The inner ring complex nucleoporin Nup170 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3B,180525_Spo21Repeat01_24_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YDR224C,Htb1,WT,,SGD,/Figure 3/3B - Nup170-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup170-GFP, mCherry = Htb1-mCherry",The inner ring complex nucleoporin Nup170 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3B,180525_Spo21Repeat01_24_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YBL079W,Nup170,YDR224C,Htb1,WT,,SGD,/Figure 3/3B - Nup170-GFP Htb1-mCherry,Reference,Bright-field,The inner ring complex nucleoporin Nup170 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3C,170926_NonGALNDT80NupMovies1_01_24_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YKL057C,Nup120,YDR224C,Htb1,WT,,SGD,/Figure 3/3C - Nup120-GFP Htb1-mCherry,Deconvolved,"FITC = Nup120-GFP, mCherry = Htb1-mCherry",The Y-complex nucleoporin Nup120 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3C,170926_NonGALNDT80NupMovies1_01_24_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YKL057C,Nup120,YDR224C,Htb1,WT,,SGD,/Figure 3/3C - Nup120-GFP Htb1-mCherry,Raw,"FITC = Nup120-GFP, mCherry = Htb1-mCherry",The Y-complex nucleoporin Nup120 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3C,170926_NonGALNDT80NupMovies1_01_24_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YKL057C,Nup120,YDR224C,Htb1,WT,,SGD,/Figure 3/3C - Nup120-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup120-GFP, mCherry = Htb1-mCherry",The Y-complex nucleoporin Nup120 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3C,170926_NonGALNDT80NupMovies1_01_24_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YKL057C,Nup120,YDR224C,Htb1,WT,,SGD,/Figure 3/3C - Nup120-GFP Htb1-mCherry,Reference,Bright-field,The Y-complex nucleoporin Nup120 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated. 
Figure 3D,180531_RedoNups01_02_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR018C,Pom34,YDR224C,Htb1,WT,,SGD,/Figure 3/3D - Pom34-GFP Htb1-mCherry,Deconvolved,"FITC = Pom34-GFP, mCherry = Htb1-mCherry",The transmembrane nucleoporin Pom34 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3D,180531_RedoNups01_02_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR018C,Pom34,YDR224C,Htb1,WT,,SGD,/Figure 3/3D - Pom34-GFP Htb1-mCherry,Raw,"FITC = Pom34-GFP, mCherry = Htb1-mCherry",The transmembrane nucleoporin Pom34 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3D,180531_RedoNups01_02_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR018C,Pom34,YDR224C,Htb1,WT,,SGD,/Figure 3/3D - Pom34-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Pom34-GFP, mCherry = Htb1-mCherry",The transmembrane nucleoporin Pom34 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3D,180531_RedoNups01_02_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR018C,Pom34,YDR224C,Htb1,WT,,SGD,/Figure 3/3D - Pom34-GFP Htb1-mCherry,Reference,Bright-field,The transmembrane nucleoporin Pom34 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3E,171221_NewNupsRound3_01_35_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YJL061W,Nup82,YDR224C,Htb1,WT,,SGD,/Figure 3/3E - Nup82-GFP Htb1-mCherry,Deconvolved,"FITC = Nup82-GFP, mCherry = Htb1-mCherry",The cytoplasmic nucleoporin Nup82 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3E,171221_NewNupsRound3_01_35_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YJL061W,Nup82,YDR224C,Htb1,WT,,SGD,/Figure 3/3E - Nup82-GFP Htb1-mCherry,Raw,"FITC = Nup82-GFP, mCherry = Htb1-mCherry",The cytoplasmic nucleoporin Nup82 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3E,171221_NewNupsRound3_01_35_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YJL061W,Nup82,YDR224C,Htb1,WT,,SGD,/Figure 3/3E - Nup82-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup82-GFP, mCherry = Htb1-mCherry",The cytoplasmic nucleoporin Nup82 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3E,171221_NewNupsRound3_01_35_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YJL061W,Nup82,YDR224C,Htb1,WT,,SGD,/Figure 3/3E - Nup82-GFP Htb1-mCherry,Reference,Bright-field,The cytoplasmic nucleoporin Nup82 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3F,180531_RedoNups01_37_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGL172W,Nup49,YDR224C,Htb1,WT,,SGD,/Figure 3/3F - Nup49-GFP Htb1-mCherry,Deconvolved,"FITC = Nup49-GFP, mCherry = Htb1-mCherry",The channel nucleoporin Nup49 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3F,180531_RedoNups01_37_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGL172W,Nup49,YDR224C,Htb1,WT,,SGD,/Figure 3/3F - Nup49-GFP Htb1-mCherry,Raw,"FITC = Nup49-GFP, mCherry = Htb1-mCherry",The channel nucleoporin Nup49 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3F,180531_RedoNups01_37_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGL172W,Nup49,YDR224C,Htb1,WT,,SGD,/Figure 3/3F - Nup49-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup49-GFP, mCherry = Htb1-mCherry",The channel nucleoporin Nup49 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3F,180531_RedoNups01_37_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YGL172W,Nup49,YDR224C,Htb1,WT,,SGD,/Figure 3/3F - Nup49-GFP Htb1-mCherry,Reference,Bright-field,The channel nucleoporin Nup49 is sequestered away from chromosomes during anaphase II in young cells and is subsequently eliminated.
Figure 3G,180816_RedoMovies_38_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR335W,Nup2,YDR224C,Htb1,WT,,SGD,/Figure 3/3G - Nup2-GFP Htb1-mCherry,Deconvolved,"FITC = Nup2-GFP, mCherry = Htb1-mCherry",The nuclear basket nucleoporin Nup2 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3G,180816_RedoMovies_38_R3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR335W,Nup2,YDR224C,Htb1,WT,,SGD,/Figure 3/3G - Nup2-GFP Htb1-mCherry,Raw,"FITC = Nup2-GFP, mCherry = Htb1-mCherry",The nuclear basket nucleoporin Nup2 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3G,180816_RedoMovies_38_R3D_D3D_zproj.tif,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR335W,Nup2,YDR224C,Htb1,WT,,SGD,/Figure 3/3G - Nup2-GFP Htb1-mCherry,Deconvolved z-projected,"FITC = Nup2-GFP, mCherry = Htb1-mCherry",The nuclear basket nucleoporin Nup2 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3G,180816_RedoMovies_38_R3D_REF.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR335W,Nup2,YDR224C,Htb1,WT,,SGD,/Figure 3/3G - Nup2-GFP Htb1-mCherry,Reference,Bright-field,The nuclear basket nucleoporin Nup2 returns to nascent nuclei during and after anaphase II in young cells.
Figure 3H,180509_RedoMovies2_23_R3D_D3D.dv,Saccharomyces cerevisiae,NCBITaxon,4932,SK1,"Growth - SPO, 30C",Live cell imaging,YLR335W,Nup2,YGL172W,Nup49,WT,,SGD,/Figure 3/3H - Nup2-GFP Nup49-mCherry,Deconvolved,"FITC = Nup2-GFP, mCherry = Nup49-mCherry",The nuclear basket nucleoporin Nup2 returns to nascent nuclei during and after anaphase II in young cells;  the channel nucleoporin Nup49 is sequestered away from chromosomes during anaphase II in young cells.
